datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2024-01-18 19-12-46,871394.06,86599.68,784794.38,com.yangcong345.android.phone,3883,86520.68,784779.84,871300.52
2024-01-18 19-12-51,875468.69,86806.98,788661.71,com.yangcong345.android.phone,3883,86728.05,788593.1,875321.16
2024-01-18 19-12-56,878879.55,86974.6,791904.95,com.yangcong345.android.phone,3883,86897.96,791847.24,878745.21
2024-01-18 19-13-01,882820.4,87191.47,795628.94,com.yangcong345.android.phone,3883,87113.25,795547.0,882660.25
2024-01-18 19-13-07,886771.83,87392.73,799379.1,com.yangcong345.android.phone,3883,87313.6,799308.63,886622.23
2024-01-18 19-13-12,890582.87,87582.51,803000.36,com.yangcong345.android.phone,3883,87502.36,802917.84,890420.2
2024-01-18 19-13-17,894417.99,87767.77,806650.22,com.yangcong345.android.phone,3883,87687.81,806594.59,894282.41
2024-01-18 19-13-22,898073.87,87950.43,810123.43,com.yangcong345.android.phone,3883,87871.42,810073.98,897945.4
2024-01-18 19-13-27,901565.0,88121.54,813443.47,com.yangcong345.android.phone,3883,88041.5,813363.36,901404.86
2024-01-18 19-13-32,905550.26,88330.75,817219.51,com.yangcong345.android.phone,3883,88255.82,817165.33,905421.15
2024-01-18 19-13-37,909476.41,88705.8,820770.61,com.yangcong345.android.phone,3883,88631.02,820849.54,909480.56
2024-01-18 19-13-42,913159.6,88972.9,824186.7,com.yangcong345.android.phone,3883,88962.74,824159.61,913122.35
2024-01-18 19-13-47,917165.93,89260.58,827905.34,com.yangcong345.android.phone,3883,89182.38,827884.96,917067.35
2024-01-18 19-13-52,920973.33,89456.61,831516.73,com.yangcong345.android.phone,3883,89376.36,831389.74,920766.09
2024-01-18 19-13-57,924658.35,89638.47,835019.89,com.yangcong345.android.phone,3883,89559.91,834968.14,924528.05
2024-01-18 19-14-02,928675.77,89963.24,838712.54,com.yangcong345.android.phone,3883,89886.2,838701.64,928587.84
2024-01-18 19-14-07,932784.99,90217.1,842567.89,com.yangcong345.android.phone,3883,90216.61,842610.2,932826.81
2024-01-18 19-14-12,936648.34,90540.15,846108.19,com.yangcong345.android.phone,3883,90460.43,846077.89,936538.32
2024-01-18 19-14-17,940667.78,90849.74,849818.04,com.yangcong345.android.phone,3883,90771.57,849867.62,940639.19
2024-01-18 19-14-22,944480.39,91049.99,853430.4,com.yangcong345.android.phone,3883,90989.83,853430.62,944420.45
2024-01-18 19-14-27,948478.13,91281.41,857196.72,com.yangcong345.android.phone,3883,91203.22,857144.97,948348.19
2024-01-18 19-14-32,952121.19,91460.19,860661.0,com.yangcong345.android.phone,3883,91382.68,860662.48,952045.16
2024-01-18 19-14-37,955882.66,91689.77,864192.9,com.yangcong345.android.phone,3883,91611.86,864100.38,955712.24
2024-01-18 19-14-42,961876.39,93958.49,867917.9,com.yangcong345.android.phone,3883,93880.35,867885.83,961766.18
2024-01-18 19-14-47,965809.65,94161.41,871648.24,com.yangcong345.android.phone,3883,94083.67,871559.87,965643.54
2024-01-18 19-14-52,970243.01,94797.18,875445.83,com.yangcong345.android.phone,3883,94717.44,875404.54,970121.98
2024-01-18 19-14-57,973447.61,94938.13,878509.48,com.yangcong345.android.phone,3883,94858.05,878414.83,973272.88
2024-01-18 19-15-02,976973.41,95105.6,881867.81,com.yangcong345.android.phone,3883,95052.67,881898.6,976951.27
2024-01-18 19-15-07,980846.03,95412.06,885433.98,com.yangcong345.android.phone,3883,95331.97,885352.85,980684.83
2024-01-18 19-15-12,984778.01,95615.89,889162.12,com.yangcong345.android.phone,3883,95538.06,889149.86,984687.92
2024-01-18 19-15-17,988604.07,95816.71,892787.36,com.yangcong345.android.phone,3883,95737.2,892773.98,988511.17
2024-01-18 19-15-22,992434.29,96002.91,896431.38,com.yangcong345.android.phone,3883,95925.5,896387.88,992313.38
2024-01-18 19-15-27,996149.04,96223.11,899925.93,com.yangcong345.android.phone,3883,96143.57,899838.76,995982.34
2024-01-18 19-15-32,999972.56,96413.09,903559.46,com.yangcong345.android.phone,3883,96335.1,903480.03,999815.13
2024-01-18 19-15-37,1003769.27,96604.75,907164.52,com.yangcong345.android.phone,3883,96525.84,907102.25,1003628.09
2024-01-18 19-15-42,1007326.03,96787.45,910538.59,com.yangcong345.android.phone,3883,96710.53,910554.7,1007265.23
2024-01-18 19-15-47,1011181.44,96978.61,914202.83,com.yangcong345.android.phone,3883,96897.97,914134.03,1011032.0
2024-01-18 19-15-52,1015109.62,97211.65,917897.97,com.yangcong345.android.phone,3883,97133.5,917850.14,1014983.64
2024-01-18 19-15-57,1018910.69,97415.57,921495.13,com.yangcong345.android.phone,3883,97337.33,921455.7,1018793.02
2024-01-18 19-16-02,1022723.64,97609.69,925113.95,com.yangcong345.android.phone,3883,97533.04,925123.86,1022656.9
2024-01-18 19-16-07,1026451.36,97794.86,928656.5,com.yangcong345.android.phone,3883,97716.31,928643.85,1026360.15
2024-01-18 19-16-12,1030152.25,98010.84,932141.41,com.yangcong345.android.phone,3883,97932.25,932102.37,1030034.61
2024-01-18 19-16-17,1034151.23,98209.16,935942.07,com.yangcong345.android.phone,3883,98129.46,935851.55,1033981.01
2024-01-18 19-16-22,1038063.15,98434.58,939628.57,com.yangcong345.android.phone,3883,98356.42,939568.86,1037925.29
2024-01-18 19-16-27,1041837.51,98713.89,943123.62,com.yangcong345.android.phone,3883,98635.44,943070.94,1041706.38
2024-01-18 19-16-32,1045307.25,98936.25,946371.01,com.yangcong345.android.phone,3883,98856.3,946291.35,1045147.66
2024-01-18 19-16-37,1048951.87,99125.99,949825.88,com.yangcong345.android.phone,3883,99049.72,949833.85,1048883.58
2024-01-18 19-16-42,1052556.82,99397.89,953158.93,com.yangcong345.android.phone,3883,99318.78,953097.84,1052416.62
2024-01-18 19-16-47,1059045.39,102002.22,957043.17,com.yangcong345.android.phone,3883,101922.93,956975.26,1058898.19
2024-01-18 19-16-52,1062876.31,102221.64,960654.67,com.yangcong345.android.phone,3883,102145.0,960657.26,1062802.27
2024-01-18 19-16-57,1066764.6,102755.6,964009.0,com.yangcong345.android.phone,3883,102676.63,963926.93,1066603.56
2024-01-18 19-17-02,1070685.89,102948.58,967737.3,com.yangcong345.android.phone,3883,102868.95,967625.55,1070494.5
2024-01-18 19-17-07,1074675.35,103562.06,971113.28,com.yangcong345.android.phone,3883,103487.48,971169.01,1074656.49
2024-01-18 19-17-12,1078682.66,103920.77,974761.89,com.yangcong345.android.phone,3883,103840.95,974714.16,1078555.11
2024-01-18 19-17-17,1082620.99,104124.85,978496.15,com.yangcong345.android.phone,3883,104046.01,978428.57,1082474.58
2024-01-18 19-17-22,1086821.91,104724.52,982097.39,com.yangcong345.android.phone,3883,104648.98,982154.18,1086803.17
2024-01-18 19-17-27,1090610.38,104951.17,985659.2,com.yangcong345.android.phone,3883,104870.67,985589.42,1090460.09
2024-01-18 19-17-32,1094343.84,105149.73,989194.11,com.yangcong345.android.phone,3883,105070.18,989141.83,1094212.01
2024-01-18 19-17-37,1098164.44,105377.58,992786.86,com.yangcong345.android.phone,3883,105300.65,992740.63,1098041.28
2024-01-18 19-17-42,1102141.23,105621.08,996520.15,com.yangcong345.android.phone,3883,105541.72,996432.29,1101974.01
2024-01-18 19-17-47,1106188.73,105840.29,1000348.45,com.yangcong345.android.phone,3883,105764.42,1000261.23,1106025.65
2024-01-18 19-17-52,1110052.04,106053.24,1003998.8,com.yangcong345.android.phone,3883,105976.9,1003984.2,1109961.1
2024-01-18 19-17-57,1116103.89,108543.04,1007560.86,com.yangcong345.android.phone,3883,108463.02,1007496.08,1115959.1
2024-01-18 19-18-02,1119565.83,108728.71,1010837.12,com.yangcong345.android.phone,3883,108648.9,1010709.47,1119358.37
2024-01-18 19-18-07,1123705.98,109042.77,1014663.21,com.yangcong345.android.phone,3883,108963.34,1014579.11,1123542.45
2024-01-18 19-18-12,1127076.42,109210.86,1017865.56,com.yangcong345.android.phone,3883,109133.85,1017809.31,1126943.16
2024-01-18 19-18-17,1130479.31,109394.83,1021084.48,com.yangcong345.android.phone,3883,109316.88,1021012.54,1130329.42
2024-01-18 19-18-22,1134183.42,109578.59,1024604.83,com.yangcong345.android.phone,3883,109497.77,1024550.01,1134047.78
2024-01-18 19-18-27,1138018.82,109767.66,1028251.16,com.yangcong345.android.phone,3883,109687.42,1028183.69,1137871.1
2024-01-18 19-18-32,1141906.15,109982.34,1031923.81,com.yangcong345.android.phone,3883,109905.45,1031874.09,1141779.54
2024-01-18 19-18-37,1148487.61,112763.9,1035723.7,com.yangcong345.android.phone,3883,112684.9,1035634.67,1148319.56
2024-01-18 19-18-42,1152350.01,112997.86,1039352.15,com.yangcong345.android.phone,3883,112917.96,1039290.12,1152208.08
2024-01-18 19-18-47,1156242.86,113225.32,1043017.53,com.yangcong345.android.phone,3883,113148.2,1043000.34,1156148.54
2024-01-18 19-18-52,1160212.18,113467.22,1046744.96,com.yangcong345.android.phone,3883,113388.85,1046694.2,1160083.05
2024-01-18 19-18-58,1163320.64,113668.88,1049651.76,com.yangcong345.android.phone,3883,116360.84,1050006.43,1166367.28
2024-01-18 19-19-02,1169667.92,116629.19,1053038.73,com.yangcong345.android.phone,3883,116554.33,1053075.86,1169630.19
2024-01-18 19-19-07,1173348.33,116819.22,1056529.11,com.yangcong345.android.phone,3883,116740.09,1056446.02,1173186.11
2024-01-18 19-19-13,1176797.22,116999.65,1059797.57,com.yangcong345.android.phone,3883,116949.74,1060073.46,1177023.2
2024-01-18 19-19-17,1180083.37,117183.31,1062900.06,com.yangcong345.android.phone,3883,117102.44,1062836.28,1179938.73
