datetime,activity window,fps,jank
2024-01-18 19-32-51,,0,0
2024-01-18 19-32-57,,0,0
2024-01-18 19-33-01,,0,0
2024-01-18 19-33-06,,0,0
2024-01-18 19-33-11,,0,0
2024-01-18 19-33-16,,0,0
2024-01-18 19-33-21,,0,0
2024-01-18 19-33-26,,0,0
2024-01-18 19-33-31,,0,0
2024-01-18 19-33-36,,0,0
2024-01-18 19-33-41,,0,0
2024-01-18 19-33-46,,0,0
2024-01-18 19-33-51,,0,0
2024-01-18 19-33-56,,0,0
2024-01-18 19-34-01,,0,0
2024-01-18 19-34-06,,0,0
2024-01-18 19-34-11,,34,3
2024-01-18 19-34-16,,24,1
2024-01-18 19-34-21,,23,2
2024-01-18 19-34-26,,23,4
2024-01-18 19-34-31,,24,2
2024-01-18 19-34-36,,25,1
2024-01-18 19-34-41,,23,1
2024-01-18 19-34-46,,51,1
2024-01-18 19-34-51,,0,0
2024-01-18 19-34-56,,0,0
2024-01-18 19-35-01,,0,0
2024-01-18 19-35-06,,0,0
2024-01-18 19-35-11,,0,0
2024-01-18 19-35-16,,0,0
2024-01-18 19-35-21,,0,0
2024-01-18 19-35-26,,0,0
2024-01-18 19-35-31,,0,0
2024-01-18 19-35-36,,0,0
2024-01-18 19-35-41,,0,0
2024-01-18 19-35-46,,0,0
2024-01-18 19-35-51,,0,0
2024-01-18 19-35-56,,25,2
2024-01-18 19-36-01,,21,1
2024-01-18 19-36-06,,0,0
2024-01-18 19-36-11,,0,0
2024-01-18 19-36-16,,0,0
2024-01-18 19-36-21,,0,0
2024-01-18 19-36-26,,0,0
2024-01-18 19-36-31,,0,0
2024-01-18 19-36-36,,0,0
2024-01-18 19-36-41,,0,0
2024-01-18 19-36-46,,0,0
2024-01-18 19-36-51,,0,0
2024-01-18 19-36-56,,0,0
2024-01-18 19-37-01,,0,0
2024-01-18 19-37-06,,0,0
2024-01-18 19-37-11,,0,0
2024-01-18 19-37-16,,0,0
2024-01-18 19-37-21,,0,0
2024-01-18 19-37-26,,0,0
2024-01-18 19-37-31,,0,0
2024-01-18 19-37-36,,0,0
2024-01-18 19-37-41,,0,0
2024-01-18 19-37-46,,0,0
2024-01-18 19-37-51,,0,0
2024-01-18 19-37-56,,0,0
2024-01-18 19-38-01,,0,0
2024-01-18 19-38-06,,0,0
2024-01-18 19-38-11,,0,0
2024-01-18 19-38-17,,0,0
2024-01-18 19-38-21,,0,0
2024-01-18 19-38-26,,0,0
2024-01-18 19-38-31,,0,0
2024-01-18 19-38-36,,0,0
2024-01-18 19-38-42,,0,0
2024-01-18 19-38-46,,0,0
2024-01-18 19-38-51,,0,0
2024-01-18 19-38-56,,0,0
2024-01-18 19-39-01,,0,0
2024-01-18 19-39-06,,0,0
2024-01-18 19-39-12,,0,0
2024-01-18 19-39-17,,0,0
