2024-07-08 18-53-23 top info:
Tasks: 434 total,   2 running, 431 sleeping,   0 stopped,   1 zombie
  Mem:      7.6G total,      4.7G used,      2.9G free,       66M buffers
 Swap:      4.2G total,      201M used,      4.0G free,      2.8G cached
800%cpu 172%user   0%nice  90%sys 538%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
16661 shell        20   0  74M  16M  15M R  100   0.2   0:00.05 app_process /system/bin com.android.commands.monkey.Monkey -p com.yangcong345.android.phone -v -v -v -s 1000 --ignore-crashes --ignore-timeouts --ignore-security-exceptions --kill-process-after-error --pct-appswitch 20 --pct-touch 40 --pct-motion 10 --pct-trackball 0 --pct-anyevent 10 --pct-flip 0 --pct-pinchzoom 0 --throttle 1000 1200000000
  368 root         20   0    0    0    0 S  0.0   0.0   0:00.10 [jbd2/sdc9-8]
  366 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  365 root         20   0    0    0    0 S  0.0   0.0   0:03.86 [jbd2/sdc49-8]
  355 root         20   0  37M 4.2M 4.0M S  0.0   0.0   0:00.02 android.hardware.boot@1.0-service
  353 root         20   0 147M 6.4M 6.0M S  0.0   0.0   0:01.03 vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  346 system       20   0  35M 2.4M 2.2M S  0.0   0.0   0:00.00 vndservicemanager /dev/vndbinder
  345 system       20   0 2.0G 5.6M 4.7M S  0.0   0.0   0:08.97 hwservicemanager
  344 system       20   0  35M 3.6M 3.1M S  0.0   0.0   0:01.57 servicemanager
  333 root         20   0  38M 6.9M 5.7M S  0.0   0.0   0:41.35 ueventd
  332 root         20   0  38M 6.0M 5.5M S  0.0   0.0   0:00.29 init subcontext u:r:vendor_init:s0 13
  331 root         20   0  39M 6.2M 5.7M S  0.0   0.0   0:01.04 init subcontext u:r:vendor_init:s0 7
  330 root          0 -20    0    0    0 I  0.0   0.0   0:00.29 [kworker/0:1H]
  329 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  328 root          0 -20    0    0    0 I  0.0   0.0   0:00.19 [kworker/4:1H]
  327 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  326 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
  325 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
